a                   un                                      
cowboy              vaquero                                 
cowhide             cuero                                   
cowl                capó                                    
cowlick             remolino (mechón de pelo)               
cowshed             establo                                 
coxal               coxal                                   
coy                 tímido                                  
coyote              coyote                                  
cozy                cómodo                                  
crab                cangrejo                                
crabby              malhumorado                             
crack               crujido                                 
cracker             crácker                                 
crackle             crujido                                 
cradle              cuna                                    
craft               destreza                                
craftsman           artesano                                
craftsmanship       artesanía                               
crafty              astuto                                  
crag                risco                                   
craggy              escarpado                               
cram                apretura                                
cramp               calambre                                
cranberry           arándano agrio                          
crane               grúa                                    
cranial             craneal                                 
cranium             cráneo                                  
crank               manivela                                
crankcase           cárter                                  
cranky              chiflado                                
cranny              grieta                                  
crash               accidente                               
crass               espeso                                  
crate               canasta                                 
crater              cráter                                  
cravat              corbata                                 
craven              cobarde                                 
craving             deseo                                   
crawler             reptil                                  
crayfish            cangrejo de río                         
crayon              lápiz de cera                           
craze               manía                                   
crazed              loco                                    
crazy               loco                                    
CRC                 control de redundancia cíclica          
creaking            crujido                                 
creaky              crujiente                               
cream               crema                                   
creamery            lechería                                
creamy              cremoso                                 
crease              pliegue                                 
created             creado                                  
creatine            creatina                                
creation            creación                                
creative            creativo                                
creativeness        creatividad                             
creature            criatura                                
credence            creencia                                
credibility         credibilidad                            
credible            creíble                                 
credit              crédito                                 
creditable          loable                                  
creditor            acreedor                                
credo               credo                                   
credulity           credulidad                              
credulous           crédulo                                 
creed               credo                                   
creek               abierto                                 
creepy              escalofriante                           
cremation           cremación                               
crematory           horno crematorio                        
creosote            creosota                                
crepe               crespón                                 
crescendo           crescendo                               
crescent            creciente                               
crest               cresta                                  
Crete               Creta                                   
cretin              cretino                                 
cretinism           cretinismo                              
cretonne            cretona                                 
crevasse            grieta                                  
crevice             hendidura                               
crew                tripulación                             
crib                cuna                                    
cricket             grillo                                  
crime               delito                                  
criminal            delictivo                               
criminologist       criminólogo                             
criminology         criminología                            
crimp               rizos (plural)                          
crimson             carmesí                                 
cringe              encogerse                               
cringing            bajo                                    
crinkle             arruga                                  
crinoline           miriñaque                               
cripple             cojo                                    
crippled            lisiado                                 
crisis              crisis                                  
crisp               crespo                                  
crispness           encrespadura                            
crispy              crespo                                  
crisscross          entrelazado                             
criteria            criterios                               
criterion           criterio                                
critic              crítico                                 
critical            crítico                                 
critically          críticamente                            
criticism           crítica                                 
critique            crítica                                 
croak               graznido del cuervo                     
croaker             corbina                                 
Croatia             Croacia                                 
crochet             crochet                                 
crock               vasija de barro                         
crockery            cacharros                               
crocodile           cocodrilo                               
crone               vieja arrugada                          
crony               amigote                                 
crook               curva                                   
crooked             curvo                                   
crop                cosecha                                 
cropper             cosechador                              
croquette           croqueta                                
cross               cruz                                    
cross-country       a campo través                          
cross-eyed          bizco                                   
cross-purposes      objetivos opuestos                      
crossbar            tranca                                  
crossbred           cruzado                                 
crossbreed          casta cruzada                           
crossing            cruce                                   
crossly             con enojo                               
crosspost           envío múltiple                          
crossroads          cruce de carreteras                     
crosstalk           diafonía                                
crossword           crucigrama                              
crotch              horca                                   
crotchet            capricho                                
crotchety           caprichoso                              
croup               anca                                    
croupier            crupier                                 
crow                cuervo                                  
crowbar             palanca                                 
crowd               muchedumbre                             
crowded             atestado                                
crown               corona                                  
crowning            coronamiento                            
crucial             crucial                                 
crucible            crisol                                  
crucifix            crucifijo                               
crucifixion         crucifixión                             
crude               crudo                                   
crudeness           crudeza                                 
crudity             crudeza                                 
cruel               cruel                                   
cruelty             crueldad                                
cruet               ampolla                                 
cruise              crucero                                 
cruiser             crucero                                 
crumb               miga                                    
crunch              crujido                                 
crusade             cruzada                                 
crusader            cruzado                                 
crush               compresión                              
crusher             aplastante (contundente)                
crushing            aplastante                              
crust               corteza                                 
crustacean          crustáceo                               
crusty              crujiente                               
crutch              muleta                                  
crux                cosa difícil                            
cry                 lamento                                 
crying              grito                                   
cryogenic           criogénico                              
cryosurgery         criocirugía                             
crypt               cripta                                  
cryptic             secreto                                 
cryptogram          criptograma                             
cryptography        criptografía                            
crystal             cristal                                 
crystalline         cristalino                              
crystallization     cristalización                          
crystalloid         cristaloide                             
CT-scanner          TAC (abrev. de tomografía axial computerizada)
cub                 cachorro                                
Cuba                Cuba                                    
Cuban               cubano                                  
cube                cubo                                    
cubic               cúbico                                  
cubicle             cubículo                                
cubism              cubismo                                 
cubist              cubista                                 
cubitus             cúbito                                  
cuboid              cuboide                                 
cuckold             cornudo                                 
cuckoo              cuco                                    
cucumber            pepino                                  
cud                 bolo alimenticio (de los rumiantes)     
cuddle              abrazo estrecho                         
cudgel              garrote corto                           
cue                 señal                                   
cuff                puño (de la camisa)                     
cuisine             cocina (arte culinario)                 
culinary            culinario                               
cull                cebón                                   
culmination         culminación                             
culpability         culpabilidad                            
culpable            culpable                                
culprit             culpable                                
cult                culto                                   
cultivated          cultivado                               
cultivation         cultivo                                 
cultivator          cultivador                              
cultural            cultural                                
culture             cultivo                                 
cultured            culto                                   
culvert             alcantarilla                            
cumbersome          embarazoso                              
cumulative          acumulativo                             
cuneiform           cuneiforme                              
cunning             hábil                                   
cup                 taza                                    
cupboard            armario                                 
cupidity            avaricia                                
cur                 perro (no de raza)                      
curable             curable                                 
curative            curativo                                
curator             conservador (de un museo, galería de arte, etc.)
curb                bordillo                                
curd                cuajado                                 
cure                cura                                    
curfew              toque de queda                          
curio               curiosidad                              
curiosity           curiosidad                              
curious             curioso                                 
curl                rizo                                    
curlew              zarapito                                
curling             rizado                                  
curly               rizado                                  
currant             uva pasa                                
currency            dinero                                  
current             actual                                  
currently           actualmente                             
curry               curry                                   
curse               maldición                               
cursed              maldito                                 
cursor              puntero                                 
cursory             superficial                             
curt                corto                                   
curtailment         acortamiento                            
curtain             cortina                                 
curtsy              cortesía                                
curvature           curvatura                               
curve               curva                                   
cushion             cojín                                   
cuspidor            escupidera                              
custard             flan                                    
custodian           custodio                                
custody             custodia                                
custom              costumbre                               
customary           acostumbrado                            
customer            cliente                                 
customs             aduana                                  
cutaneous           cutáneo                                 
cutback             reducción                               
cute                listo                                   
cuticle             cutícula                                
cutlass             machete                                 
cutlassfish         pez sable                               
cutler              cuchillero                              
cutlery             cuchillería                             
cutlet              chuleta                                 
cutoff              atajo                                   
cutter              cuchilla                                
cutthroat           asesino                                 
cutting             cortante                                
cuttlebone          jibión                                  
cuttlefish          jibia                                   
cyanide             cianuro                                 
cybernetics         cibernética                             
cyberpark           parque cibernético                      
cyberspace          ciberespacio                            
cyclamate           ciclamato                               
cycle               ciclo                                   
cyclic              cíclico                                 
cycling             ciclismo                                
cyclist             ciclista                                
cyclone             ciclón                                  
cyclotron           ciclotrón                               
cylindrical         cilíndrico                              
cymbal              címbalo                                 
cynic               cínico                                  
cynical             cínico                                  
cynicism            cinismo                                 
cynophobia          cinofobia                               
cypress             ciprés                                  
cyst                quiste                                  
cystic              cístico                                 
cystitis            cistitis                                
cystography         cistografía                             
cytoplasm           citoplasma                              
czar                zar                                     
Czech               checo                                   
Czechoslovakia      Checoslovaquia                          
dab                 golpecito                               
dad                 papá                                    
daddy               papá                                    
daffodil            narciso                                 
daft                tonto                                   
dagger              daga                                    
dahlia              dalia                                   
daily               diario                                  
daintily            delicadamente                           
daintiness          delicadeza                              
dainty              delicado                                
dairy               lechería                                
dairyman            lechero                                 
dais                tarima                                  
daisy               margarita                               
dale                cañada                                  
dam                 dique                                   
damage              daño                                    
damaged             maltrecho                               
damages             daños y perjuicios                      
damaging            perjudicial                             
damask              damasco                                 
dame                dama                                    
damn                maldición                               
damnable            condenable                              
damnation           condenación                             
damned              maldito                                 
damp                húmedo                                  
dampness            humedad                                 
damsel              damisela                                
dance               baile                                   
dancer              bailarín                                
dancing             danza                                   
dandelion           diente de león                          
dandruff            caspa                                   
dandy               elegante                                
Dane                danés                                   
danger              peligro                                 
dangerous           peligroso                               
dangerously         peligrosamente                          
Danish              danés                                   
dank                malsano y húmedo                        
Danube              Danubio                                 
dapper              vivaracho                               
dappled             manchado                                
dare                reto                                    
daredevil           atrevido                                
daring              atrevido                                
dark                oscuro                                  
darkness            oscuridad                               
darkroom            cuarto oscuro                           
darling             amado                                   
darning             zurcido                                 
dart                dardo                                   
dash                arremetida                              
dashing             enérgico                                
dastardly           cobarde                                 
datagram            datagrama                               
date                cita                                    
date-shell          dátil de mar                            
dated               fechado                                 
datum               dato                                    
daughter            hija                                    
daughter-in-law     nuera                                   
dauntless           impávido                                
davenport           sofá                                    
davit               pescante                                
dawdler             ocioso                                  
dawn                alba                                    
day                 día                                     
daybook             libro diario                            
daybreak            alba                                    
daydream            ensueño                                 
daylight            luz del día                             
daytime             día                                     
dazzle              deslumbramiento                         
dazzling            deslumbrante                            
de                  identificador universal de recursos)    
deacon              diácono                                 
deaconess           diaconisa                               
dead                muerto                                  
deadline            fecha tope                              
deadlock            bloqueo                                 
deadly              mortal                                  
deaf                sordo                                   
deaf-mute           sordomudo                               
deafening           ensordecedor                            
deafness            sordera                                 
deal                trato                                   
dealer              detallista                              
dealing             trato                                   
dean                deán                                    
dear                estimado                                
dearly              amorosamente                            
dearth              carestía                                
death               muerte                                  
deathbed            lecho de muerte                         
deathless           inmortal                                
deathly             mortal                                  
debacle             desastre                                
debasement          degradación                             
debatable           discutible                              
debate              debate                                  
debauch             exceso                                  
debauchery          libertinaje                             
debility            debilidad                               
debit               débito                                  
debonair            cortés                                  
debris              ruinas                                  
debt                deuda                                   
debtor              deudor                                  
debugger            depurador                               
debut               debut                                   
debutante           debutante                               
decade              decenio                                 
decadence           decadencia                              
decadent            decadente                               
decaffeinated       descafeinado                            
decalcomania        calcomanía                              
decanter            garrafa                                 
decanting           trasiego                                
decapitation        decapitación                            
decay               debilitamiento                          
decease             defunción                               
deceased            difunto                                 
deceit              engaño                                  
deceitful           engañoso                                
deceiver            engañador                               
December            diciembre                               
decency             decencia                                
decent              decente                                 
deception           engaño                                  
deceptive           engañoso                                
decibel             decibelio                               
decided             decidido                                
decimal             decimal                                 
decimation          estrago                                 
decision            decisión                                
decisive            firme                                   
deck                cubierta                                
declamation         declamación                             
declaration         declaración                             
declension          declinación                             
decline             decadencia                              
declining           decadente                               
decoder             descodificador                          
decoding            descodificación                         
decompensation      descompensación                         
decomposition       descomposición                          
decompression       descompresión                           
decongestant        descongestivo                           
decontamination     desinfección                            
decoration          decoración                              
decorative          decorativo                              
decorator           decorador                               
decorous            decoroso                                
decorum             decoro                                  
decoy               señuelo                                 
decrease            disminución                             
decreasing          decreciente                             
decrepit            decrépito                               
decubitus           decúbito                                
dedicated           especializado                           
dedication          dedicación                              
deductible          deducible                               
deduction           deducción                               
deductive           deductivo                               
deed                acto                                    
deep                hondo                                   
deeply              profundamente                           
deepness            profundidad                             
deer                ciervo                                  
defamation          difamación                              
defamatory          difamatorio                             
default             opción por omisión                      
defeatist           derrotista                              
defecation          defecación                              
defect              defecto                                 
defection           defección                               
defective           defectuoso                              
defender            defensor                                
defensible          defendible                              
defensive           defensivo                               
defer               diferir                                 
deference           deferencia                              
deferential         deferente                               
deferment           dilación                                
deferred            diferido                                
defiance            desafío                                 
defiant             desafiante                              
deficiency          deficiencia                             
deficient           deficiente                              
deficit             déficit                                 
defile              desfiladero                             
defilement          deshonra                                
defined             definido                                
definite            definido                                
definitely          definitivamente                         
definition          definición                              
definitive          definitivo                              
deflation           deflacción                              
deform              deforme                                 
deformed            deformado                               
deformity           deformidad                              
deft                ágil                                    
defunct             difunto                                 
degausser           desimantador                            
degeneracy          degeneración                            
degeneration        degeneración                            
degenerative        degenerativo                            
degradation         degradación                             
degrading           degradante                              
degree              grado                                   
dehydration         deshidratación                          
deism               deísmo                                  
deity               deidad                                  
dejaggies           supresión de irregularidades            
dejected            abatido                                 
dejection           abatimiento                             
Delaware            Delaware                                
delay               retardo                                 
delectable          delicioso                               
delegate            delegado                                
delegation          comisión                                
deleted             borrado                                 
deleterious         deletéreo                               
deletion            tachadura                               
deliberate          deliberado                              
deliberately        deliberadamente                         
deliberation        deliberación                            
deliberative        deliberativo                            
delicacy            delicadeza                              
delicate            delicado                                
delicatessen        tienda de platos preparados             
delicious           delicioso                               
delightful          delicioso                               
delightfully        encantado                               
delinquency         delincuencia                            
delinquent          delincuente                             
delirious           delirante                               
delirium            delirio                                 
deliverance         entrega                                 
delivery            entrega                                 
delta               delta                                   
deltoid             deltoides                               
deluge              diluvio                                 
delusion            engaño                                  
demagnetization     desimantación                           
demagogue           demagogo                                
demand              petición                                
demanding           exigente                                
demarcation         demarcación                             
demeanor            conducta                                
demented            demente                                 
dementia            demencia                                
demerit             demérito                                
demise              fallecimiento                           
demobilize          desmovilizar                            
democracy           democracia                              
democrat            demócrata                               
democratic          democrático                             
demographic         demográfico                             
demolition          demolición                              
demon               demonio                                 
demonstrable        demostrable                             
demonstration       demostración                            
demonstrative       demostrativo                            
demonstrator        demostrador                             
demoralized         desmoralizado                           
demur               irresolución                            
demure              grave                                   
demyelinating       desmielinización                        
den                 cubil                                   
deniable            negable                                 
denial              rechazo                                 
denim               dril                                    
Denmark             Dinamarca                               
denomination        denominación                            
denominator         denominador                             
denouement          desenlace                               
dense               denso                                   
denseness           densidad                                
density             densidad                                
dent                mella                                   
dental              dental                                  
dentifrice          dentífrico                              
dentist             dentista                                
dentistry           odontología                             
dentition           dentición                               
denture             dentadura postiza                       
denunciation        denuncia                                
deodorant           desodorante                             
departmental        departamental                           
departure           partida                                 
dependability       fiabilidad                              
dependable          fiable                                  
dependence          dependencia                             
dependency          dependencia                             
dependent           dependiente                             
depletion           agotamiento                             
deplorable          deplorable                              
depolarization      despolarización                         
depopulation        despoblación                            
deportation         deportación                             
deportment          conducta                                
deposit             depositar                               
depositary          depositario                             
deposition          deposición                              
depositor           depositante                             
depository          depositado                              
depot               depósito                                
depravity           depravación                             
depreciation        devaluación                             
depredation         depredación                             
depression          depresión                               
depressor           depresor                                
deprivation         privación                               
depth               profundidad                             
deregulation        dereglamentación                        
derelict            derrelicto                              
dereliction         abandono                                
derision            mofa                                    
derivate            derivada                                
derivation          derivación                              
dermatological      dermatológico                           
dermatology         dermatología                            
dermis              dermis                                  
derogatory          derogatorio                             
derrick             grúa                                    
descendant          descendiente                            
descender           descensor (en escalada)                 
descending          descendente                             
descent             descenso                                
description         descripción                             
descriptive         descriptivo                             
desegregation       desegregación                           
desert              desierto                                
deserter            desertor                                
desertion           deserción                               
deservedly          merecidamente                           
deserving           merecedor                               
design              diseño                                  
designation         nombramiento                            
designer            diseñador                               
designing           artero                                  
desirability        conveniencia                            
desirable           deseable                                
desire              deseo                                   
desirous            deseoso                                 
desk                escritorio                              
desktop             escritorio                              
desolate            desolado                                
desolation          desolación                              
despair             desesperación                           
despairing          desesperado                             
desperate           desesperado                             
desperately         desesperadamente                        
desperation         desesperación                           
despicable          despreciable                            
despite             a pesar de                              
despondent          desalentado                             
despot              déspota                                 
despotic            despótico                               
despotism           despotismo                              
dessert             postre                                  
destination         destino                                 
destiny             destino                                 
destitution         destitución                             
destroyer           destructor                              
destruction         destrucción                             
destructive         destructivo                             
desultory           inconexo                                
detachable          intercambiable                          
detached            aislado                                 
detachment          separación                              
detail              detalle                                 
detection           descubrimiento                          
detective           detective                               
detector            detector                                
detention           detención                               
detergent           detergente                              
deterioration       deterioración                           
determination       determinación                           
determine           determinar                              
determined          determinado                             
determinism         determinismo                            
deterrence          disuasión                               
deterrent           disuasivo                               
detestable          detestable                              
detonation          detonación                              
detonator           detonador                               
detour              desviado                                
detriment           detrimento                              
detrimental         perjudicial                             
devaluation         devaluación                             
devastation         devastación                             
developer           diseñador                               
development         desarrollo                              
deviation           desviación                              
devil               diablo                                  
devilish            diabólico                               
devilment           diablura                                
devious             desviado                                
devise              disposiciones testamentarias            
devoid              desprovisto                             
devoted             consagrado                              
devotee             devoto                                  
devotion            devoción                                
devotional          piadoso                                 
devout              devoto                                  
dew                 rocío                                   
dewy                cubierto de rocío                       
dexterity           destreza                                
dexterous           diestro                                 
diabetes            diabetes                                
diabetic            diabético                               
diabolic            diabólico                               
diabolical          diabólico                               
diacritical         diacrítico                              
diadem              diadema                                 
diagnosis           diagnosis                               
diagnostic          diagnóstico                             
diagonal            diagonal                                
diagram             diagrama                                
dial                dial                                    
dialect             dialecto                                
dialog              diálogo                                 
dialogue            diálogo                                 
dialup              conexión por linea conmutada            
dialysis            diálisis                                
